,country,cases
540,Afghanistan,0
541,Albania,0
542,Algeria,0
543,Andorra,0
544,Angola,0
545,Antigua and Barbuda,0
546,Argentina,0
547,Armenia,0
548,Australia,0
549,Australia,0
550,Australia,0
551,Australia,0
552,Australia,0
553,Australia,0
571,Brunei,0
554,Australia,0
556,Austria,0
557,Azerbaijan,0
558,Bahamas,0
559,Bahrain,0
560,Bangladesh,0
561,Barbados,0
562,Belarus,0
563,Belgium,0
564,Belize,0
565,Benin,0
566,Bhutan,0
567,Bolivia,0
568,Bosnia and Herzegovina,0
569,Botswana,0
555,Australia,0
605,China,8
674,Grenada,0
607,China,4
642,Denmark,0
643,Diamond Princess,0
644,Djibouti,0
645,Dominica,0
646,Dominican Republic,0
647,Ecuador,0
648,Egypt,0
649,El Salvador,0
650,Equatorial Guinea,0
651,Eritrea,0
652,Estonia,0
653,Eswatini,0
654,Ethiopia,0
655,Fiji,0
641,Denmark,0
656,Finland,0
658,France,0
659,France,0
660,France,0
661,France,0
662,France,0
663,France,0
664,France,0
665,France,0
666,France,0
667,France,2
668,Gabon,0
669,Gambia,0
670,Georgia,0
671,Germany,0
657,France,0
640,Denmark,0
672,Ghana,0
638,Cyprus,0
608,China,9
609,China,2
610,China,549
611,China,24
612,China,1
613,China,9
614,China,18
615,China,3
639,Czechia,0
617,China,2
618,China,2
619,China,0
620,China,5
621,China,15
622,China,20
616,China,4
624,China,15
623,China,1
637,Cuba,0
636,Croatia,0
635,Cote d'Ivoire,0
633,Congo (Kinshasa),0
632,Congo (Brazzaville),0
634,Costa Rica,0
630,Colombia,0
629,China,43
628,China,5
627,China,2
626,China,0
625,China,8
631,Comoros,0
988,Mauritius,0
992,Mongolia,0
991,Monaco,0
990,Moldova,0
989,Mexico,0
987,Mauritania,0
980,Madagascar,0
985,Malta,0
984,Mali,0
983,Maldives,0
982,Malaysia,3
981,Malawi,0
986,Marshall Islands,0
993,Montenegro,0
1009,Oman,0
995,Mozambique,0
979,MS Zaandam,0
1008,Norway,0
1007,North Macedonia,0
1006,Nigeria,0
1005,Niger,0
1004,Nicaragua,0
994,Morocco,0
1003,New Zealand,0
1001,Netherlands,0
1000,Netherlands,0
999,Netherlands,0
998,Netherlands,0
997,Nepal,1
996,Namibia,0
1002,Netherlands,0
978,Luxembourg,0
962,Japan,2
976,Liechtenstein,0
1010,Pakistan,0
946,Guinea,0
947,Guinea-Bissau,0
948,Guyana,0
949,Haiti,0
950,Holy See,0
951,Honduras,0
952,Hungary,0
953,Iceland,0
954,India,0
955,Indonesia,0
956,Iran,0
957,Iraq,0
958,Ireland,0
977,Lithuania,0
959,Israel,0
961,Jamaica,0
963,Jordan,0
964,Kazakhstan,0
965,Kenya,0
966,"Korea, South",2
967,Kosovo,0
968,Kuwait,0
969,Kyrgyzstan,0
970,Laos,0
971,Latvia,0
972,Lebanon,0
973,Lesotho,0
974,Liberia,0
975,Libya,0
960,Italy,0
1011,Panama,0
1044,Switzerland,0
1013,Paraguay,0
1049,Thailand,7
1050,Timor-Leste,0
1051,Togo,0
1052,Trinidad and Tobago,0
1053,Tunisia,0
1054,Turkey,0
1055,US,2
1056,Uganda,0
1057,Ukraine,0
1058,United Arab Emirates,0
1059,United Kingdom,0
1060,United Kingdom,0
1061,United Kingdom,0
1062,United Kingdom,0
1048,Tanzania,0
1063,United Kingdom,0
1065,United Kingdom,0
1066,United Kingdom,0
1067,United Kingdom,0
1068,United Kingdom,0
1069,United Kingdom,0
1070,Uruguay,0
1071,Uzbekistan,0
1072,Vanuatu,0
1073,Venezuela,0
1074,Vietnam,2
1075,West Bank and Gaza,0
1076,Western Sahara,0
1077,Yemen,0
945,Guatemala,0
1064,United Kingdom,0
1047,Tajikistan,0
1046,Taiwan,3
1045,Syria,0
1014,Peru,0
1015,Philippines,0
1016,Poland,0
1017,Portugal,0
1018,Qatar,0
1019,Romania,0
1020,Russia,0
1021,Rwanda,0
1022,Saint Kitts and Nevis,0
1023,Saint Lucia,0
1024,Saint Vincent and the Grenadines,0
1025,San Marino,0
1026,Sao Tome and Principe,0
1027,Saudi Arabia,0
1028,Senegal,0
1029,Serbia,0
1030,Seychelles,0
1079,Zimbabwe,0
1043,Sweden,0
1042,Suriname,0
1041,Sudan,0
1040,Sri Lanka,0
1039,Spain,0
1012,Papua New Guinea,0
1038,South Sudan,0
1036,Somalia,0
1035,Solomon Islands,0
1034,Slovenia,0
1033,Slovakia,0
1032,Singapore,3
1031,Sierra Leone,0
1037,South Africa,0
1078,Zambia,0
944,Grenada,0
942,Ghana,0
844,Burma,0
845,Burundi,0
846,Cabo Verde,0
847,Cambodia,0
848,Cameroon,0
849,Canada,0
850,Canada,0
851,Canada,0
852,Canada,0
853,Canada,0
854,Canada,0
855,Canada,0
856,Canada,0
857,Canada,0
842,Bulgaria,0
858,Canada,0
860,Canada,0
861,Canada,0
862,Canada,0
863,Canada,0
864,Central African Republic,0
865,Chad,0
866,Chile,0
867,China,39
868,China,41
869,China,57
870,China,18
871,China,4
872,China,78
873,China,23
859,Canada,0
874,China,4
841,Brunei,0
839,Botswana,0
943,Greece,0
810,Afghanistan,0
811,Albania,0
812,Algeria,0
813,Andorra,0
814,Angola,0
815,Antigua and Barbuda,0
816,Argentina,0
817,Armenia,0
818,Australia,0
819,Australia,0
820,Australia,0
821,Australia,0
822,Australia,0
840,Brazil,0
823,Australia,0
825,Australia,0
826,Austria,0
827,Azerbaijan,0
828,Bahamas,0
829,Bahrain,0
830,Bangladesh,0
831,Barbados,0
832,Belarus,0
833,Belgium,0
834,Belize,0
835,Benin,0
836,Bhutan,0
837,Bolivia,0
838,Bosnia and Herzegovina,0
824,Australia,0
